index,char,unicode,glyph_id,glyph_path,warning
33,꾸,U+AFB8,033_UAFB8,datasets\clova_214\glyphs\082_font\033_UAFB8.png,
34,꿔,U+AFD4,034_UAFD4,datasets\clova_214\glyphs\082_font\034_UAFD4.png,
35,뀙,U+B019,035_UB019,datasets\clova_214\glyphs\082_font\035_UB019.png,
36,끊,U+B04A,036_UB04A,datasets\clova_214\glyphs\082_font\036_UB04A.png,
37,너,U+B108,037_UB108,datasets\clova_214\glyphs\082_font\037_UB108.png,
38,넋,U+B10B,038_UB10B,datasets\clova_214\glyphs\082_font\038_UB10B.png,
39,놓,U+B193,039_UB193,datasets\clova_214\glyphs\082_font\039_UB193.png,
40,놔,U+B194,040_UB194,datasets\clova_214\glyphs\082_font\040_UB194.png,
41,누,U+B204,041_UB204,datasets\clova_214\glyphs\082_font\041_UB204.png,
42,눠,U+B220,042_UB220,datasets\clova_214\glyphs\082_font\042_UB220.png,
43,뉂,U+B242,043_UB242,datasets\clova_214\glyphs\082_font\043_UB242.png,
44,느,U+B290,044_UB290,datasets\clova_214\glyphs\082_font\044_UB290.png,
45,늙,U+B299,045_UB299,datasets\clova_214\glyphs\082_font\045_UB299.png,
46,닰,U+B2F0,046_UB2F0,datasets\clova_214\glyphs\082_font\046_UB2F0.png,
47,닳,U+B2F3,047_UB2F3,datasets\clova_214\glyphs\082_font\047_UB2F3.png,
48,닿,U+B2FF,048_UB2FF,datasets\clova_214\glyphs\082_font\048_UB2FF.png,
49,댐,U+B310,049_UB310,datasets\clova_214\glyphs\082_font\049_UB310.png,
50,더,U+B354,050_UB354,datasets\clova_214\glyphs\082_font\050_UB354.png,
51,돋,U+B3CB,051_UB3CB,datasets\clova_214\glyphs\082_font\051_UB3CB.png,
52,돐,U+B3D0,052_UB3D0,datasets\clova_214\glyphs\082_font\052_UB3D0.png,
53,두,U+B450,053_UB450,datasets\clova_214\glyphs\082_font\053_UB450.png,
54,뒊,U+B48A,054_UB48A,datasets\clova_214\glyphs\082_font\054_UB48A.png,
55,뒤,U+B4A4,055_UB4A4,datasets\clova_214\glyphs\082_font\055_UB4A4.png,
56,드,U+B4DC,056_UB4DC,datasets\clova_214\glyphs\082_font\056_UB4DC.png,
57,듸,U+B4F8,057_UB4F8,datasets\clova_214\glyphs\082_font\057_UB4F8.png,
58,떫,U+B5AB,058_UB5AB,datasets\clova_214\glyphs\082_font\058_UB5AB.png,
59,떻,U+B5BB,059_UB5BB,datasets\clova_214\glyphs\082_font\059_UB5BB.png,
60,뗘,U+B5D8,060_UB5D8,datasets\clova_214\glyphs\082_font\060_UB5D8.png,
61,또,U+B610,061_UB610,datasets\clova_214\glyphs\082_font\061_UB610.png,
62,뙈,U+B648,062_UB648,datasets\clova_214\glyphs\082_font\062_UB648.png,
63,뙣,U+B663,063_UB663,datasets\clova_214\glyphs\082_font\063_UB663.png,
64,뚜,U+B69C,064_UB69C,datasets\clova_214\glyphs\082_font\064_UB69C.png,
65,뚫,U+B6AB,065_UB6AB,datasets\clova_214\glyphs\082_font\065_UB6AB.png,
66,뛰,U+B6F0,066_UB6F0,datasets\clova_214\glyphs\082_font\066_UB6F0.png,
67,랐,U+B790,067_UB790,datasets\clova_214\glyphs\082_font\067_UB790.png,
68,레,U+B808,068_UB808,datasets\clova_214\glyphs\082_font\068_UB808.png,
69,로,U+B85C,069_UB85C,datasets\clova_214\glyphs\082_font\069_UB85C.png,
70,롼,U+B87C,070_UB87C,datasets\clova_214\glyphs\082_font\070_UB87C.png,
71,뢰,U+B8B0,071_UB8B0,datasets\clova_214\glyphs\082_font\071_UB8B0.png,
72,뤄,U+B904,072_UB904,datasets\clova_214\glyphs\082_font\072_UB904.png,
73,류,U+B958,073_UB958,datasets\clova_214\glyphs\082_font\073_UB958.png,
74,릎,U+B98E,074_UB98E,datasets\clova_214\glyphs\082_font\074_UB98E.png,
75,맏,U+B9CF,075_UB9CF,datasets\clova_214\glyphs\082_font\075_UB9CF.png,
76,맑,U+B9D1,076_UB9D1,datasets\clova_214\glyphs\082_font\076_UB9D1.png,
77,맞,U+B9DE,077_UB9DE,datasets\clova_214\glyphs\082_font\077_UB9DE.png,
78,맠,U+B9E0,078_UB9E0,datasets\clova_214\glyphs\082_font\078_UB9E0.png,
79,맺,U+B9FA,079_UB9FA,datasets\clova_214\glyphs\082_font\079_UB9FA.png,
80,멂,U+BA42,080_UBA42,datasets\clova_214\glyphs\082_font\080_UBA42.png,
81,며,U+BA70,081_UBA70,datasets\clova_214\glyphs\082_font\081_UBA70.png,
82,몫,U+BAAB,082_UBAAB,datasets\clova_214\glyphs\082_font\082_UBAAB.png,
83,뫫,U+BAEB,083_UBAEB,datasets\clova_214\glyphs\082_font\083_UBAEB.png,
84,뫼,U+BAFC,084_UBAFC,datasets\clova_214\glyphs\082_font\084_UBAFC.png,
85,묘,U+BB18,085_UBB18,datasets\clova_214\glyphs\082_font\085_UBB18.png,
86,무,U+BB34,086_UBB34,datasets\clova_214\glyphs\082_font\086_UBB34.png,
87,묶,U+BB36,087_UBB36,datasets\clova_214\glyphs\082_font\087_UBB36.png,
88,뭬,U+BB6C,088_UBB6C,datasets\clova_214\glyphs\082_font\088_UBB6C.png,
89,및,U+BC0F,089_UBC0F,datasets\clova_214\glyphs\082_font\089_UBC0F.png,
90,밞,U+BC1E,090_UBC1E,datasets\clova_214\glyphs\082_font\090_UBC1E.png,
91,뱉,U+BC49,091_UBC49,datasets\clova_214\glyphs\082_font\091_UBC49.png,
92,벧,U+BCA7,092_UBCA7,datasets\clova_214\glyphs\082_font\092_UBCA7.png,
93,볘,U+BCD8,093_UBCD8,datasets\clova_214\glyphs\082_font\093_UBCD8.png,
94,복,U+BCF5,094_UBCF5,datasets\clova_214\glyphs\082_font\094_UBCF5.png,
95,봐,U+BD10,095_UBD10,datasets\clova_214\glyphs\082_font\095_UBD10.png,
96,붜,U+BD9C,096_UBD9C,datasets\clova_214\glyphs\082_font\096_UBD9C.png,
97,붰,U+BDB0,097_UBDB0,datasets\clova_214\glyphs\082_font\097_UBDB0.png,
98,뷰,U+BDF0,098_UBDF0,datasets\clova_214\glyphs\082_font\098_UBDF0.png,
99,브,U+BE0C,099_UBE0C,datasets\clova_214\glyphs\082_font\099_UBE0C.png,
100,뼈,U+BF08,100_UBF08,datasets\clova_214\glyphs\082_font\100_UBF08.png,
101,뼭,U+BF2D,101_UBF2D,datasets\clova_214\glyphs\082_font\101_UBF2D.png,
102,뽀,U+BF40,102_UBF40,datasets\clova_214\glyphs\082_font\102_UBF40.png,
103,뾔,U+BF94,103_UBF94,datasets\clova_214\glyphs\082_font\103_UBF94.png,
104,뿅,U+BFC5,104_UBFC5,datasets\clova_214\glyphs\082_font\104_UBFC5.png,
105,뿌,U+BFCC,105_UBFCC,datasets\clova_214\glyphs\082_font\105_UBFCC.png,
106,뿨,U+BFE8,106_UBFE8,datasets\clova_214\glyphs\082_font\106_UBFE8.png,
107,쀑,U+C011,107_UC011,datasets\clova_214\glyphs\082_font\107_UC011.png,
108,샵,U+C0F5,108_UC0F5,datasets\clova_214\glyphs\082_font\108_UC0F5.png,
109,샷,U+C0F7,109_UC0F7,datasets\clova_214\glyphs\082_font\109_UC0F7.png,
110,서,U+C11C,110_UC11C,datasets\clova_214\glyphs\082_font\110_UC11C.png,
111,솥,U+C1A5,111_UC1A5,datasets\clova_214\glyphs\082_font\111_UC1A5.png,
112,쇄,U+C1C4,112_UC1C4,datasets\clova_214\glyphs\082_font\112_UC1C4.png,
113,쇱,U+C1F1,113_UC1F1,datasets\clova_214\glyphs\082_font\113_UC1F1.png,
114,쇼,U+C1FC,114_UC1FC,datasets\clova_214\glyphs\082_font\114_UC1FC.png,
115,수,U+C218,115_UC218,datasets\clova_214\glyphs\082_font\115_UC218.png,
116,쉬,U+C26C,116_UC26C,datasets\clova_214\glyphs\082_font\116_UC26C.png,
117,싻,U+C2FB,117_UC2FB,datasets\clova_214\glyphs\082_font\117_UC2FB.png,
118,쌀,U+C300,118_UC300,datasets\clova_214\glyphs\082_font\118_UC300.png,
119,쌔,U+C314,119_UC314,datasets\clova_214\glyphs\082_font\119_UC314.png,
120,쏘,U+C3D8,120_UC3D8,datasets\clova_214\glyphs\082_font\120_UC3D8.png,
121,쏴,U+C3F4,121_UC3F4,datasets\clova_214\glyphs\082_font\121_UC3F4.png,
122,쐚,U+C41A,122_UC41A,datasets\clova_214\glyphs\082_font\122_UC41A.png,
123,쑜,U+C45C,123_UC45C,datasets\clova_214\glyphs\082_font\123_UC45C.png,
124,쑤,U+C464,124_UC464,datasets\clova_214\glyphs\082_font\124_UC464.png,
125,쒜,U+C49C,125_UC49C,datasets\clova_214\glyphs\082_font\125_UC49C.png,
126,앉,U+C549,126_UC549,datasets\clova_214\glyphs\082_font\126_UC549.png,
127,얇,U+C587,127_UC587,datasets\clova_214\glyphs\082_font\127_UC587.png,
128,얕,U+C595,128_UC595,datasets\clova_214\glyphs\082_font\128_UC595.png,
129,어,U+C5B4,129_UC5B4,datasets\clova_214\glyphs\082_font\129_UC5B4.png,
130,얹,U+C5B9,130_UC5B9,datasets\clova_214\glyphs\082_font\130_UC5B9.png,
131,얽,U+C5BD,131_UC5BD,datasets\clova_214\glyphs\082_font\131_UC5BD.png,
132,엌,U+C5CC,132_UC5CC,datasets\clova_214\glyphs\082_font\132_UC5CC.png,
133,엣,U+C5E3,133_UC5E3,datasets\clova_214\glyphs\082_font\133_UC5E3.png,
134,엾,U+C5FE,134_UC5FE,datasets\clova_214\glyphs\082_font\134_UC5FE.png,
135,옅,U+C605,135_UC605,datasets\clova_214\glyphs\082_font\135_UC605.png,
136,옐,U+C610,136_UC610,datasets\clova_214\glyphs\082_font\136_UC610.png,
137,옻,U+C63B,137_UC63B,datasets\clova_214\glyphs\082_font\137_UC63B.png,
138,외,U+C678,138_UC678,datasets\clova_214\glyphs\082_font\138_UC678.png,
139,우,U+C6B0,139_UC6B0,datasets\clova_214\glyphs\082_font\139_UC6B0.png,
140,워,U+C6CC,140_UC6CC,datasets\clova_214\glyphs\082_font\140_UC6CC.png,
141,으,U+C73C,141_UC73C,datasets\clova_214\glyphs\082_font\141_UC73C.png,
142,읊,U+C74A,142_UC74A,datasets\clova_214\glyphs\082_font\142_UC74A.png,
143,읔,U+C754,143_UC754,datasets\clova_214\glyphs\082_font\143_UC754.png,
144,읠,U+C760,144_UC760,datasets\clova_214\glyphs\082_font\144_UC760.png,
145,잃,U+C783,145_UC783,datasets\clova_214\glyphs\082_font\145_UC783.png,
146,잰,U+C7B0,146_UC7B0,datasets\clova_214\glyphs\082_font\146_UC7B0.png,
147,쟤,U+C7E4,147_UC7E4,datasets\clova_214\glyphs\082_font\147_UC7E4.png,
148,점,U+C810,148_UC810,datasets\clova_214\glyphs\082_font\148_UC810.png,
149,젖,U+C816,149_UC816,datasets\clova_214\glyphs\082_font\149_UC816.png,
150,조,U+C870,150_UC870,datasets\clova_214\glyphs\082_font\150_UC870.png,
151,좌,U+C88C,151_UC88C,datasets\clova_214\glyphs\082_font\151_UC88C.png,
152,좼,U+C8BC,152_UC8BC,datasets\clova_214\glyphs\082_font\152_UC8BC.png,
153,주,U+C8FC,153_UC8FC,datasets\clova_214\glyphs\082_font\153_UC8FC.png,
154,줆,U+C906,154_UC906,datasets\clova_214\glyphs\082_font\154_UC906.png,
155,줘,U+C918,155_UC918,datasets\clova_214\glyphs\082_font\155_UC918.png,
156,쪮,U+CAAE,156_UCAAE,datasets\clova_214\glyphs\082_font\156_UCAAE.png,
157,쪼,U+CABC,157_UCABC,datasets\clova_214\glyphs\082_font\157_UCABC.png,
158,쫌,U+CACC,158_UCACC,datasets\clova_214\glyphs\082_font\158_UCACC.png,
159,쫴,U+CAF4,159_UCAF4,datasets\clova_214\glyphs\082_font\159_UCAF4.png,
160,쬀,U+CB00,160_UCB00,datasets\clova_214\glyphs\082_font\160_UCB00.png,
161,쭤,U+CB64,161_UCB64,datasets\clova_214\glyphs\082_font\161_UCB64.png,
162,쮸,U+CBB8,162_UCBB8,datasets\clova_214\glyphs\082_font\162_UCBB8.png,
163,찌,U+CC0C,163_UCC0C,datasets\clova_214\glyphs\082_font\163_UCC0C.png,
164,챦,U+CC66,164_UCC66,datasets\clova_214\glyphs\082_font\164_UCC66.png,
165,쳬,U+CCEC,165_UCCEC,datasets\clova_214\glyphs\082_font\165_UCCEC.png,
166,촤,U+CD24,166_UCD24,datasets\clova_214\glyphs\082_font\166_UCD24.png,
167,추,U+CD94,167_UCD94,datasets\clova_214\glyphs\082_font\167_UCD94.png,
168,춰,U+CDB0,168_UCDB0,datasets\clova_214\glyphs\082_font\168_UCDB0.png,
169,췏,U+CDCF,169_UCDCF,datasets\clova_214\glyphs\082_font\169_UCDCF.png,
170,츉,U+CE09,170_UCE09,datasets\clova_214\glyphs\082_font\170_UCE09.png,
171,츠,U+CE20,171_UCE20,datasets\clova_214\glyphs\082_font\171_UCE20.png,
172,캐,U+CE90,172_UCE90,datasets\clova_214\glyphs\082_font\172_UCE90.png,
173,컁,U+CEC1,173_UCEC1,datasets\clova_214\glyphs\082_font\173_UCEC1.png,
174,컗,U+CED7,174_UCED7,datasets\clova_214\glyphs\082_font\174_UCED7.png,
175,커,U+CEE4,175_UCEE4,datasets\clova_214\glyphs\082_font\175_UCEE4.png,
176,컫,U+CEEB,176_UCEEB,datasets\clova_214\glyphs\082_font\176_UCEEB.png,
177,케,U+CF00,177_UCF00,datasets\clova_214\glyphs\082_font\177_UCF00.png,
178,켸,U+CF38,178_UCF38,datasets\clova_214\glyphs\082_font\178_UCF38.png,
179,콊,U+CF4A,179_UCF4A,datasets\clova_214\glyphs\082_font\179_UCF4A.png,
180,콜,U+CF5C,180_UCF5C,datasets\clova_214\glyphs\082_font\180_UCF5C.png,
181,쾨,U+CFA8,181_UCFA8,datasets\clova_214\glyphs\082_font\181_UCFA8.png,
182,쿠,U+CFE0,182_UCFE0,datasets\clova_214\glyphs\082_font\182_UCFE0.png,
183,쿼,U+CFFC,183_UCFFC,datasets\clova_214\glyphs\082_font\183_UCFFC.png,
184,퀊,U+D00A,184_UD00A,datasets\clova_214\glyphs\082_font\184_UD00A.png,
185,퀘,U+D018,185_UD018,datasets\clova_214\glyphs\082_font\185_UD018.png,
186,퀲,U+D032,186_UD032,datasets\clova_214\glyphs\082_font\186_UD032.png,
187,크,U+D06C,187_UD06C,datasets\clova_214\glyphs\082_font\187_UD06C.png,
188,키,U+D0A4,188_UD0A4,datasets\clova_214\glyphs\082_font\188_UD0A4.png,
189,킥,U+D0A5,189_UD0A5,datasets\clova_214\glyphs\082_font\189_UD0A5.png,
190,타,U+D0C0,190_UD0C0,datasets\clova_214\glyphs\082_font\190_UD0C0.png,
191,턬,U+D12C,191_UD12C,datasets\clova_214\glyphs\082_font\191_UD12C.png,
192,톼,U+D1BC,192_UD1BC,datasets\clova_214\glyphs\082_font\192_UD1BC.png,
193,퇸,U+D1F8,193_UD1F8,datasets\clova_214\glyphs\082_font\193_UD1F8.png,
194,툐,U+D210,194_UD210,datasets\clova_214\glyphs\082_font\194_UD210.png,
195,퉈,U+D248,195_UD248,datasets\clova_214\glyphs\082_font\195_UD248.png,
196,튜,U+D29C,196_UD29C,datasets\clova_214\glyphs\082_font\196_UD29C.png,
197,틋,U+D2CB,197_UD2CB,datasets\clova_214\glyphs\082_font\197_UD2CB.png,
198,파,U+D30C,198_UD30C,datasets\clova_214\glyphs\082_font\198_UD30C.png,
199,팎,U+D30E,199_UD30E,datasets\clova_214\glyphs\082_font\199_UD30E.png,
200,푀,U+D440,200_UD440,datasets\clova_214\glyphs\082_font\200_UD440.png,
201,푆,U+D446,201_UD446,datasets\clova_214\glyphs\082_font\201_UD446.png,
202,표,U+D45C,202_UD45C,datasets\clova_214\glyphs\082_font\202_UD45C.png,
203,푸,U+D478,203_UD478,datasets\clova_214\glyphs\082_font\203_UD478.png,
204,퓌,U+D4CC,204_UD4CC,datasets\clova_214\glyphs\082_font\204_UD4CC.png,
205,픈,U+D508,205_UD508,datasets\clova_214\glyphs\082_font\205_UD508.png,
206,핥,U+D565,206_UD565,datasets\clova_214\glyphs\082_font\206_UD565.png,
207,햐,U+D590,207_UD590,datasets\clova_214\glyphs\082_font\207_UD590.png,
208,호,U+D638,208_UD638,datasets\clova_214\glyphs\082_font\208_UD638.png,
209,홅,U+D645,209_UD645,datasets\clova_214\glyphs\082_font\209_UD645.png,
210,홱,U+D671,210_UD671,datasets\clova_214\glyphs\082_font\210_UD671.png,
211,후,U+D6C4,211_UD6C4,datasets\clova_214\glyphs\082_font\211_UD6C4.png,
212,훼,U+D6FC,212_UD6FC,datasets\clova_214\glyphs\082_font\212_UD6FC.png,
213,휑,U+D711,213_UD711,datasets\clova_214\glyphs\082_font\213_UD711.png,
214,희,U+D76C,214_UD76C,datasets\clova_214\glyphs\082_font\214_UD76C.png,
